x-value,Brief fear of Negative Evaluation,CAI Trait Dyadic Score,CAI Trait Full Score,CAI Trait Public Speaking Score,CAI Trait Small group Score,STAI Trait Score,CAI State Score,STAI State Score
pcm_fftMag_mfcc_sma[11]_amean,-0.08576592759842756,0.07492041689675828,0.39290834847316386,0.2464876935896368,0.5710848729067313,-0.13850029445126216,0.2824973256207752,-0.02138271595326241
pcm_fftMag_mfcc_sma[12]_amean,-0.08576592759842763,0.19362002198394623,0.014208277446254827,0.29428643289141304,0.30760850459213357,0.2351919195986221,0.2824973256207751,0.02138271595326242
pcm_zcr_sma_amean,-0.08576592759842765,0.2393935856053159,-0.30300157030955593,0.1271621187920191,0.4086849687083682,-0.2855797322912001,0.2824973256207751,0.021382715953262396
voiceProb_sma_amean,0.08576592759842752,-0.23871747861034595,0.5726536052104982,-0.12667704734653157,0.46541753887636533,-0.14028337291682452,0.2824973256207752,0.021382715953262427
F0_sma_amean,0.0857659275984276,-0.2350558852606102,0.5938672969249713,0.32432045312663105,0.4238125486580469,-0.08184240233964567,0.2824973256207752,0.021382715953262393
#pause,0.1190293236100972,0.15969205669590555,-0.03511267305522165,-0.13301255413534457,0.48298186392831904,0.2376118922689517,0.45153227820180486,-0.06019877078659817
pause_frequency,0.08576592759842758,-0.04673479375164555,0.5781049070020827,0.17018677432175067,0.577736987686892,0.1611497733609226,0.2824973256207751,-0.021382715953262382
pause_interval,0.08576592759842756,0.22619640328863516,-0.030796656809768095,0.22262694589758905,0.5038960003444596,-0.13240681149177502,0.2824973256207751,0.021382715953262445
mean,0.08576592759842762,0.23705922892808814,-0.04188238374961156,-0.015505002683440329,0.30744991178293546,-0.09964642019595794,0.2824973256207751,0.02138271595326237
percent,0.08576592759842758,0.043008213313401905,0.4588231701813041,0.2761770264582243,0.5557405750146643,0.12438497360943203,0.2824973256207752,-0.021382715953262434
jitterLocal_sma_amean,-0.08576592759842762,0.23007643947469203,-0.2737174119491198,0.1932718662931002,0.4057555766732064,-0.05617682593307704,0.28249732562077506,-0.021382715953262407
jitterDDP_sma_amean,-0.08576592759842754,0.22881773520489368,-0.2895488579458056,0.18778925977300764,0.37556727666952044,-0.04721955141480515,0.2824973256207751,-0.021382715953262396
shimmerLocal_sma_amean,0.08576592759842759,0.23953901029222932,-0.15314558688788554,0.2320230395267902,0.4685750980952538,0.09097111031972989,0.2824973256207752,-0.02138271595326241
EDA_PPT,0.08576592759842758,0.13566959595404826,-0.06395571879940387,0.30116828945054025,0.37891454477883296,0.11276734404589489,0.2824973256207752,-0.021382715953262427
HR_PPT,0.08576592759842762,0.19564556847804113,0.3093482449084231,0.28020381450156423,0.5354005078240711,-0.0031777541749478918,0.2824973256207751,0.021382715953262424
TEMP_PPT,-0.08576592759842758,-0.18780970153619048,-0.5936255691400805,0.020656979164080973,-0.12059299127625159,0.07153803092929599,0.2824973256207751,0.021382715953262403
BVP_PPT,-0.0857659275984276,0.2346761952223725,-0.12409208943768275,0.16862091179312308,0.0798030185427879,0.24471518873219406,0.2824973256207752,-0.02138271595326243
ACC_PPT,-0.08576592759842759,0.23827683230659896,-0.3127212568993513,0.19102329847353033,0.07126884152713482,0.034606615114644926,-0.28249732562077523,0.02138271595326239
IBI_PPT,0.01731682640511721,0.26125586833562436,0.293085288800926,0.05367489003060661,0.4855617200829902,0.44188475181849457,-0.1687162178853161,0.2060318677237648
EDA_FREQ_PPT,-0.0857659275984276,-0.09868365267092806,-0.12741587146790495,0.21664313686806058,0.25837424823679433,0.09506195812348381,0.2824973256207751,0.02138271595326246
EDA_AMP_PPT,-0.3645126406043393,0.13988925697137158,-0.30209603548613884,-0.26208221721879893,-0.1335529004055797,-0.12575429639930524,-0.08460205679126491,-0.3490479177632685
